amka_iatrou,amka_as8eni,kwdikos_farmakou,imerominia_enarxis,imerominia_lixis,dosologia,syxnotita,ID_nosileias
01090729354,01079786083,140968,2023-01-01,2023-01-03,1 ενέσιμο αμπούλα,κάθε 8 ώρες,1
01090729354,01079786083,79416,2023-01-01,2023-01-07,1 δισκίο,προ ύπνου,1
19029051436,07025648436,161914,2023-01-04,2023-01-08,15 ml,κάθε 12 ώρες (πρωί-βράδυ),2
19029051436,07025648436,31479,2023-01-04,2023-01-12,1 δισκίο,προ ύπνου,2
23028627654,23076302310,28941,2023-01-07,2023-01-09,1 ενέσιμο αμπούλα,μετά το φαγητό,3
23028627654,23076302310,102109,2023-01-07,2023-01-08,1 κάψουλα,μία φορά το πρωί,3
06117882147,01088695318,23243,2023-01-09,2023-01-11,15 ml,προ ύπνου,4
22120477375,16074369547,103308,2023-01-12,2023-01-13,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),5
08088799158,18095314451,97942,2023-01-12,2023-01-17,1/2 δισκίο,κάθε 8 ώρες,6
08088799158,18095314451,62140,2023-01-12,2023-01-17,1 κάψουλα,μετά το φαγητό,6
08088799158,18095314451,83462,2023-01-12,2023-01-20,1 ενέσιμο αμπούλα,μετά το φαγητό,6
06050738238,06060868993,51265,2023-01-15,2023-01-18,2 δισκία,μία φορά το πρωί,7
07034474162,12045364041,158718,2023-01-21,,1/2 δισκίο,εφάπαξ,8
17075032006,07025648436,129124,2023-01-22,2023-01-23,15 ml,μετά το φαγητό,9
04025648413,25124524763,127932,2023-01-28,2023-01-30,1 δισκίο,εφάπαξ,10
04025648413,25124524763,2708,2023-01-28,2023-01-30,1 δισκίο,εφάπαξ,10
04025648413,25124524763,100211,2023-01-28,2023-01-29,2 δισκία,μετά το φαγητό,10
20039794570,07025648436,36215,2023-01-31,2023-02-06,1 κάψουλα,κάθε 8 ώρες,11
20039794570,07025648436,143524,2023-01-31,2023-02-06,15 ml,εφάπαξ,11
20039794570,07025648436,95630,2023-01-31,2023-02-06,15 ml,κάθε 12 ώρες (πρωί-βράδυ),11
18118519593,10117245649,109342,2023-02-05,2023-02-07,2 δισκία,προ ύπνου,12
19089017616,22065247880,91239,2023-02-05,2023-02-08,1 ενέσιμο αμπούλα,εφάπαξ,13
19089017616,22065247880,62687,2023-02-05,2023-02-07,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),13
19089017616,22065247880,107934,2023-02-05,2023-02-10,1/2 δισκίο,μετά το φαγητό,13
06019165174,07096944665,80513,2023-02-07,2023-02-13,1 ενέσιμο αμπούλα,μία φορά το πρωί,14
19110834569,29048725629,12685,2023-02-08,2023-02-15,2 δισκία,εφάπαξ,15
19110834569,29048725629,106542,2023-02-08,2023-02-10,15 ml,προ ύπνου,15
19110834569,29048725629,132278,2023-02-08,2023-02-15,1 δισκίο,προ ύπνου,15
02030634060,08058909862,20282,2023-02-18,2023-02-28,1 κάψουλα,κάθε 8 ώρες,16
29109569303,26100447886,131984,2023-02-20,2023-02-25,1/2 δισκίο,εφάπαξ,17
15089851983,13076696064,115587,2023-02-25,2023-03-02,1 ενέσιμο αμπούλα,προ ύπνου,18
21110456039,24058021973,56013,2023-02-25,2023-02-27,1 κάψουλα,μετά το φαγητό,19
21110456039,24058021973,122356,2023-02-25,2023-02-27,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),19
21110456039,24058021973,105450,2023-02-25,2023-02-27,1 δισκίο,μία φορά το πρωί,19
