amka,patronymo,fylo,varos,ypsos,epaggelma,ypikootita,asfalistikos_foreas
20075682599,Γεωργίου,Άνδρας,70.16,1.75,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
20050616601,Βασιλείου,Άνδρας,80.28,1.56,Φοιτητής,Ελληνική,ΕΦΚΑ (ΙΚΑ)
19117605737,Νικολάου,Γυναίκα,80.33,1.81,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
03080887989,Κωνσταντίνου,Άνδρας,99.69,1.56,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
01129226955,Ιωάννου,Άνδρας,92.61,1.61,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΙΚΑ)
26088900975,Ιωάννου,Γυναίκα,79.59,1.84,Φοιτητής,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
20049280002,Ιωάννου,Γυναίκα,77.54,1.71,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
27088459709,Βασιλείου,Γυναίκα,51.49,1.86,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
19080401685,Κωνσταντίνου,Άνδρας,91.62,1.79,Φοιτητής,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
22065247880,Νικολάου,Άνδρας,79.13,1.73,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
02024157190,Βασιλείου,Άνδρας,96.23,1.86,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
10117245649,Νικολάου,Άνδρας,104.46,1.61,Άνεργος,Ελληνική,ΕΦΚΑ
03014619314,Χρήστου,Άνδρας,91.41,1.76,Ελεύθερος Επαγγελματίας,Ελληνική,Ανασφάλιστος
29078056776,Αντωνίου,Άνδρας,94.2,1.61,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
13070372071,Κωνσταντίνου,Γυναίκα,81.99,1.8,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
01027315996,Χρήστου,Άνδρας,94.77,1.9,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
25109186486,Γεωργίου,Γυναίκα,75.19,1.6,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
10038144581,Αντωνίου,Γυναίκα,63.52,1.78,Φοιτητής,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
29089535168,Δημητρίου,Γυναίκα,64.3,1.89,Φοιτητής,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
16080609722,Ιωάννου,Άνδρας,94.84,1.62,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
18040500492,Δημητρίου,Άνδρας,92.44,1.9,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
05110633308,Δημητρίου,Άνδρας,87.72,1.77,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
