ΑΜΚΑ,Πατρώνυμο,Φύλο,Βάρος,Ύψος,Επάγγελμα,Υπηκοότητα,Ασφάλιση
25029885594,Δημήτριος,Άνδρας,105,173,Ηλεκτρολόγος,Ελληνική,Ανασφάλιστος
23019134486,Παναγιώτης,Γυναίκα,110,192,Εκπαιδευτικός,Ελληνική,Ιδιωτική
18027220557,Στυλιανός,Άνδρας,110,186,Υδραυλικός,Ελληνική,Ιδιωτική
22081541567,Μιχαήλ,Γυναίκα,99,187,Υδραυλικός,Γερμανική,Ιδιωτική
01044290797,Κωνσταντίνος,Άνδρας,51,176,Οικοδόμος,Γερμανική,Ιδιωτική
21129901416,Γεώργιος,Γυναίκα,78,182,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
13047704715,Κωνσταντίνος,Άνδρας,67,158,Ηλεκτρολόγος,Γερμανική,Ιδιωτική
09096723413,Ευάγγελος,Άνδρας,58,172,Ηλεκτρολόγος,Γερμανική,ΕΟΠΥΥ
20031968375,Παναγιώτης,Γυναίκα,114,184,Υδραυλικός,Βουλγαρική,ΕΟΠΥΥ
23030802330,Ιωάννης,Άνδρας,66,185,Εκπαιδευτικός,Βουλγαρική,Ιδιωτική
20051663660,Μιχαήλ,Άνδρας,110,162,Υδραυλικός,Γερμανική,ΕΟΠΥΥ
08105009677,Νικόλαος,Γυναίκα,56,175,Λογιστής,Γερμανική,Ιδιωτική
03055136851,Μιχαήλ,Άνδρας,81,187,Υδραυλικός,Ελληνική,Ανασφάλιστος
03028494677,Παναγιώτης,Γυναίκα,116,190,Γεωργός,Γερμανική,ΕΟΠΥΥ
19052189507,Νικόλαος,Άνδρας,106,185,Λογιστής,Ελληνική,Ιδιωτική
16014450835,Αντώνιος,Γυναίκα,74,153,Ιδιωτικός Υπάλληλος,Αλβανική,ΕΟΠΥΥ
26080559272,Νικόλαος,Γυναίκα,81,162,Ηλεκτρολόγος,Αλβανική,Ιδιωτική
30056189155,Στυλιανός,Γυναίκα,71,177,Οικοδόμος,Ελληνική,ΕΟΠΥΥ
30089084860,Κωνσταντίνος,Άνδρας,110,163,Δημόσιος Υπάλληλος,Αλβανική,Ανασφάλιστος
27068656770,Στυλιανός,Γυναίκα,112,192,Ηλεκτρολόγος,Αλβανική,Ανασφάλιστος
17089485666,Αντώνιος,Γυναίκα,102,180,Οικοδόμος,Γερμανική,ΕΟΠΥΥ
29055353953,Σπυρίδων,Γυναίκα,89,175,Ξυλουργός,Ελληνική,ΕΟΠΥΥ
01076851556,Ανδρέας,Άνδρας,65,172,Δημόσιος Υπάλληλος,Βουλγαρική,Ανασφάλιστος
13099578085,Μιχαήλ,Γυναίκα,112,177,Ηλεκτρολόγος,Ιταλική,Ιδιωτική
20121841079,Μιχαήλ,Άνδρας,108,198,Τεχνικός Η/Υ,Ιταλική,Ιδιωτική
09078026660,Δημήτριος,Γυναίκα,116,158,Γεωργός,Βουλγαρική,ΕΟΠΥΥ
25019159602,Χρήστος,Γυναίκα,80,162,Δημόσιος Υπάλληλος,Γερμανική,Ιδιωτική
26015578828,Αντώνιος,Άνδρας,89,194,Υδραυλικός,Ιταλική,Ιδιωτική
16027171867,Βασίλειος,Άνδρας,104,154,Ξυλουργός,Γερμανική,Ανασφάλιστος
02084522172,Βασίλειος,Άνδρας,99,190,Ιδιωτικός Υπάλληλος,Ιταλική,Ιδιωτική
16082215443,Χρήστος,Γυναίκα,118,162,Τεχνικός Η/Υ,Βουλγαρική,Ιδιωτική
29066470049,Σπυρίδων,Άνδρας,100,168,Γεωργός,Αλβανική,Ιδιωτική
06045568165,Βασίλειος,Άνδρας,86,185,Λογιστής,Βουλγαρική,ΕΟΠΥΥ
21051378462,Ιωάννης,Άνδρας,68,184,Ιδιωτικός Υπάλληλος,Γερμανική,Ιδιωτική
03030944642,Παναγιώτης,Άνδρας,92,185,Ηλεκτρολόγος,Γερμανική,Ανασφάλιστος
