ID_nosileias,AMKA_iatrou,vathmos_iatrikis_frontidas
1,01090729354,4
5,22120477375,5
7,06050738238,3
9,17075032006,4
11,20039794570,3
13,19089017616,3
14,06019165174,5
16,02030634060,3
17,29109569303,3
18,15089851983,3
19,21110456039,3
24,18020449145,5
27,08088799158,4
28,16118595442,3
29,04010443316,3
30,18050675294,4
32,24088546021,5
35,24088546021,3
36,19110834569,3
37,14129831939,5
38,02078042045,5
39,19075521849,5
40,23028627654,3
43,23028627654,3
44,28120467810,3
45,17019537542,4
46,08119651767,4
47,05068650481,4
48,21119438801,4
49,10094598570,3
52,15089851983,5
54,02087077516,4
55,11100467158,3
58,29049732701,3
62,07109876453,4
63,03049296161,4
64,06050738238,5
65,14129831939,5
66,22040585135,4
67,15124501431,5
68,15124501431,3
69,21119438801,5
70,19029051436,5
71,11087946135,3
72,17019537542,5
73,28120467810,3
74,03049296161,4
77,24100569128,3
78,06126222477,3
79,02087077516,3
80,08088799158,4
83,16118595442,3
84,18114432106,5
89,06117882147,3
91,23056691943,3
95,31084428740,3
99,16040493179,4
106,22120477375,5
108,20039794570,3
109,05038348846,5
110,29049732701,3
111,26067425558,4
112,03049296161,3
113,02078042045,3
114,10089737527,4
118,24088546021,5
120,27099728378,4
121,18118519593,4
122,16040493179,3
123,09045928947,4
124,18118519593,5
125,18118519593,4
127,11087946135,4
129,14129831939,4
130,15124501431,5
134,22048608378,4
135,28026692058,3
137,16040493179,5
138,15049291643,3
141,22115865680,4
142,29109569303,5
143,03057873936,3
144,31084428740,3
147,02087077516,4
148,28120467810,4
149,06050738238,5
150,18020449145,3
151,02030634060,5
153,22120477375,4
159,02087077516,5
160,02078042045,5
161,02030634060,5
165,09128084347,3
166,18114432106,4
168,29049732701,3
169,06019165174,4
170,22040585135,5
175,22048608378,4
177,15049291643,5
179,04010443316,4
180,27099728378,4
181,09128084347,5
182,19075521849,4
183,22040585135,3
184,31084428740,4
185,22040585135,4
186,15088743388,4
187,21119438801,3
188,14024366361,5
189,22048608378,4
190,31084428740,4
191,18118519593,4
192,03037593592,3
194,16040493179,4
195,03049296161,3
196,22040585135,3
197,06117882147,4
199,19089017616,4
204,21119438801,5
205,24088546021,4
206,24088546021,4
209,16118595442,3
210,28026692058,5
212,06126222477,4
214,11100467158,5
216,17019537542,3
222,18118519593,4
223,09050064807,4
227,03057873936,5
229,16100868799,3
230,15049291643,5
234,18020449145,4
236,16040493179,3
237,26099895344,4
238,06126222477,4
239,18118519593,3
240,19089017616,3
242,13119759342,5
243,23056691943,3
248,24024429583,3
249,29049732701,3
251,19075521849,3
253,06126222477,4
254,17019537542,4
255,08119651767,5
256,05038348846,5
257,02078042045,4
258,21017437016,5
259,28120467810,3
260,24088546021,3
263,15089851983,4
265,21119438801,4
266,07044341149,4
269,23026866049,3
271,19075521849,5
273,02030634060,5
275,08119651767,5
277,19029051436,5
281,17075032006,4
282,03056595064,5
283,15089851983,5
284,11087946135,4
285,16068589382,3
286,01024610365,3
287,01090729354,3
289,21017437016,3
290,03056595064,4
292,19029051436,4
294,22040585135,3
296,03049296161,5
300,04025648413,4
301,07044341149,4
303,17075032006,5
309,22115865680,3
310,15124501431,5
313,22120477375,4
314,10089737527,5
315,16118595442,5
316,28026692058,4
317,23056691943,3
320,05068650481,3
322,16118595442,5
325,15089851983,3
326,02030634060,4
328,06019165174,3
333,09045928947,3
334,21017437016,3
335,29049732701,3
336,08088799158,3
337,15124501431,3
338,01090729354,4
341,09045928947,4
343,16068589382,4
344,09050064807,5
346,23026866049,4
347,11087946135,5
348,24100569128,3
350,18050675294,3
352,23056691943,4
353,03057873936,5
354,02030634060,4
355,07100156298,5
356,15124501431,5
359,10089737527,3
362,14129831939,4
363,18060326718,5
365,14024366361,3
367,02030634060,3
370,26099895344,3
372,27099728378,5
374,04025648413,5
375,24100569128,4
376,18060326718,4
378,19029051436,4
379,01024610365,3
380,04010443316,3
381,28026692058,5
382,02087077516,4
383,16068107499,3
385,08088799158,5
387,16040493179,3
389,11100467158,3
390,19110834569,5
392,09066167650,5
393,27099728378,4
397,19089017616,5
401,03057873936,3
402,07044341149,3
403,02087077516,5
404,19075521849,5
407,18060326718,4
408,19089017616,5
410,16118595442,3
411,19029051436,3
412,05038348846,5
413,23056691943,4
415,07044341149,5
416,06019165174,3
417,02078042045,5
418,09050064807,5
419,05068650481,3
420,22115865680,5
421,23026866049,5
422,11087946135,3
424,21119438801,4
425,06117882147,4
426,18060326718,4
427,16100868799,3
428,08088799158,5
429,15049291643,3
431,03049296161,3
432,18114432106,5
433,07100156298,4
434,07034474162,3
435,28120467810,5
436,11100467158,3
437,16068589382,5
439,18050675294,3
441,28026692058,5
442,22115865680,4
444,20039794570,5
445,18050675294,4
448,02087077516,3
449,16100868799,5
451,13060666813,5
452,22040585135,4
453,16100868799,4
455,10089737527,3
457,24024429583,4
459,06050738238,3
462,15089851983,3
463,16068107499,3
464,14024366361,5
465,21110456039,3
468,22018235970,4
470,18118519593,3
474,09066167650,4
477,22040585135,4
483,21110456039,3
484,13119759342,3
486,01090729354,4
487,07034474162,4
488,16118595442,5
489,15088743388,5
491,18050675294,4
494,23026866049,5
495,02030634060,5
496,06126222477,5
500,03049296161,5
