Αριθμός Μητρώου,Ειδικότητα,Βαθμίδα,ΑΜΚΑ,ΑΜΚΑ ΕΠΟΠΤΗ
316021,Καρδιολογία,Επιμελητής Β,13119004763,04089944792
591245,Καρδιολογία,Επιμελητής Β,19127705359,25099363258
580055,Καρδιολογία,Επιμελητής Α΄,25099363258,-
160074,Καρδιολογία,Επιμελητής Α΄,12118773130,25117398737
145895,Καρδιολογία,Επιμελητής Β,17119855147,25099363258
366904,Καρδιολογία,Διευθυντής,25117398737,-
799928,Καρδιολογία,Επιμελητής Α΄,04089944792,-
367391,Χειρουργική,Ειδικευόμενος,05068051272,07068619478
858424,Χειρουργική,Ειδικευόμενος,14047477118,07127293983
195026,Χειρουργική,Επιμελητής Β,06088336231,07068619478
880511,Χειρουργική,Επιμελητής Β,07127293983,16119703823
427814,Χειρουργική,Επιμελητής Α΄,16119703823,-
827501,Χειρουργική,Επιμελητής Α΄,07089533413,-
753447,Χειρουργική,Διευθυντής,07068619478,-
750192,Παθολογία,Ειδικευόμενος,19127956803,04117407950
865417,Παθολογία,Διευθυντής,14079198860,-
446167,Παθολογία,Επιμελητής Β,19068626590,04117407950
662592,Παθολογία,Διευθυντής,02049191216,-
249034,Παθολογία,Ειδικευόμενος,19077367705,04117407950
520959,Παθολογία,Επιμελητής Β,15117831671,04117407950
945579,Παθολογία,Διευθυντής,04117407950,-
844221,Παιδιατρική,Επιμελητής Α΄,27048072502,-
622125,Παιδιατρική,Επιμελητής Α΄,24037078151,-
597291,Παιδιατρική,Επιμελητής Β,20108925619,27048072502
912706,Παιδιατρική,Ειδικευόμενος,13039573483,27048072502
962030,Παιδιατρική,Επιμελητής Β,07099952664,27048072502
494992,Γυναικολογία,Ειδικευόμενος,04109151479,25129937846
985235,Γυναικολογία,Επιμελητής Α΄,25129937846,-
924708,Γυναικολογία,Διευθυντής,23028641457,-
712346,Γυναικολογία,Διευθυντής,04037292471,-
567695,Γυναικολογία,Επιμελητής Β,19018961010,04037292471
706370,Γυναικολογία,Διευθυντής,05107524491,-
223966,Γυναικολογία,Διευθυντής,19029148687,-
872900,Γυναικολογία,Επιμελητής Β,11089567749,25129937846
151191,Γυναικολογία,Επιμελητής Β,12097107304,05107524491
747034,Ορθοπεδική,Διευθυντής,25068809052,-
317746,Ορθοπεδική,Επιμελητής Β,16089358662,-
844422,Ορθοπεδική,Επιμελητής Α΄,04017606859,-
191032,Ορθοπεδική,Επιμελητής Α΄,13117150734,04017606859
776159,Ορθοπεδική,Επιμελητής Β,17129751354,-
784888,Ορθοπεδική,Επιμελητής Α΄,06117907336,04017606859
994384,Ορθοπεδική,Ειδικευόμενος,23128161649,16089358662
695513,Νευρολογία,Διευθυντής,13099313423,-
647731,Νευρολογία,Ειδικευόμενος,04117361789,25097298358
743406,Νευρολογία,Διευθυντής,23067613014,-
548475,Νευρολογία,Επιμελητής Α΄,01057539232,25097298358
375164,Νευρολογία,Επιμελητής Β,27098852712,22058869009
445714,Νευρολογία,Επιμελητής Α΄,04039739475,25097298358
475440,Νευρολογία,Διευθυντής,22058869009,-
718213,Νευρολογία,Διευθυντής,04028125619,-
806731,Νευρολογία,Ειδικευόμενος,23057027885,11059767865
188106,Νευρολογία,Επιμελητής Β,25127246266,22058869009
613528,Νευρολογία,Διευθυντής,25097298358,-
716611,Νευρολογία,Επιμελητής Α΄,11059767865,22058869009
652593,Δερματολογία,Επιμελητής Β,02038499016,-
188837,Δερματολογία,Διευθυντής,20049372770,-
276559,Δερματολογία,Επιμελητής Α΄,05019366802,20049372770
244457,Δερματολογία,Επιμελητής Β,01088057522,20049372770
994664,Δερματολογία,Επιμελητής Β,05028619385,20049372770
906794,Δερματολογία,Ειδικευόμενος,26127853416,02038499016
818711,Δερματολογία,Ειδικευόμενος,28048546358,20049372770
577047,Δερματολογία,Διευθυντής,04057133739,-
198635,Οφθαλμολογία,Ειδικευόμενος,05069469348,10038727661
362274,Οφθαλμολογία,Διευθυντής,10038727661,-
933369,Οφθαλμολογία,Επιμελητής Β,01069648434,-
176281,Οφθαλμολογία,Επιμελητής Α΄,17047827133,-
944168,Οφθαλμολογία,Επιμελητής Α΄,11039174257,10038727661
609624,Ψυχιατρική,Επιμελητής Α΄,07099983495,18109351397
444481,Ψυχιατρική,Διευθυντής,01087712396,-
844302,Ψυχιατρική,Επιμελητής Α΄,18109351397,07099983495
855154,Ψυχιατρική,Επιμελητής Β,06048227487,18109351397
247360,Ψυχιατρική,Επιμελητής Β,27057916620,18109351397
912089,Ψυχιατρική,Επιμελητής Α΄,07128374256,-
915217,Ουρολογία,Επιμελητής Α΄,12068471353,13097260486
609015,Ουρολογία,Επιμελητής Α΄,13088062400,-
104219,Ουρολογία,Επιμελητής Α΄,13097260486,-
652036,Ουρολογία,Επιμελητής Α΄,20047413789,-
777176,Πνευμονολογία,Επιμελητής Β,22127050791,22089775660
212972,Πνευμονολογία,Επιμελητής Β,16118106189,22089775660
768142,Πνευμονολογία,Διευθυντής,22089775660,-
