ID_εικόνας,path_εικόνας,περιγραφή,AMKA     N,ID_τμήματος     N,ID_πράξεις     N
IMG_0001,/images/img_1.dicom,Medical Scan Image 1,34194900045,DEPT_03,ACT_0098
IMG_0002,/images/img_2.dicom,Medical Scan Image 2,20138900079,DEPT_04,ACT_0040
IMG_0003,/images/img_3.dicom,Medical Scan Image 3,34403300068,DEPT_03,ACT_0077
IMG_0004,/images/img_4.dicom,Medical Scan Image 4,37059800042,DEPT_02,ACT_0028
IMG_0005,/images/img_5.dicom,Medical Scan Image 5,89468700061,DEPT_01,ACT_0044
IMG_0006,/images/img_6.dicom,Medical Scan Image 6,75896100056,DEPT_04,ACT_0040
IMG_0007,/images/img_7.dicom,Medical Scan Image 7,91806200078,DEPT_01,ACT_0027
IMG_0008,/images/img_8.dicom,Medical Scan Image 8,20138900079,DEPT_03,ACT_0094
IMG_0009,/images/img_9.dicom,Medical Scan Image 9,20138900079,DEPT_04,ACT_0093
IMG_0010,/images/img_10.dicom,Medical Scan Image 10,17834500086,DEPT_05,ACT_0086
IMG_0011,/images/img_11.dicom,Medical Scan Image 11,72800300059,DEPT_02,ACT_0071
IMG_0012,/images/img_12.dicom,Medical Scan Image 12,69595900046,DEPT_05,ACT_0010
IMG_0013,/images/img_13.dicom,Medical Scan Image 13,51178300099,DEPT_05,ACT_0040
IMG_0014,/images/img_14.dicom,Medical Scan Image 14,86668900050,DEPT_03,ACT_0067
IMG_0015,/images/img_15.dicom,Medical Scan Image 15,74143000044,DEPT_03,ACT_0019
IMG_0016,/images/img_16.dicom,Medical Scan Image 16,28342700096,DEPT_01,ACT_0058
IMG_0017,/images/img_17.dicom,Medical Scan Image 17,97835000081,DEPT_02,ACT_0059
IMG_0018,/images/img_18.dicom,Medical Scan Image 18,56287400049,DEPT_05,ACT_0059
IMG_0019,/images/img_19.dicom,Medical Scan Image 19,40641300054,DEPT_04,ACT_0017
IMG_0020,/images/img_20.dicom,Medical Scan Image 20,75896100056,DEPT_04,ACT_0098
