id_epeigontos,amka_nosileythi,symptomata,epipedo_epeigontos,xronos_afixis,seira_proteraiotitas,amka,apotelesma_dialogis
1,16019423688,Δύσπνοια,4,2023-01-01 17:16:55,4,01079786083,Νοσηλεία
2,08030366981,Ζάλη / Λιποθυμία,4,2023-01-04 08:43:39,15,07025648436,Νοσηλεία
3,07037211841,Αλλεργικό σοκ,4,2023-01-05 09:08:24,15,,Νοσηλεία
4,08097071851,Αλλεργικό σοκ,2,2023-01-06 00:41:05,13,28045106998,Αποχώρηση
5,03115884871,Αλλεργικό σοκ,5,2023-01-07 09:46:36,5,23076302310,Νοσηλεία
6,15099107507,Οξύ κοιλιακό άλγος,5,2023-01-09 13:43:04,8,01088695318,Νοσηλεία
7,16080248825,Υψηλός Πυρετός,3,2023-01-12 07:32:12,9,16074369547,Νοσηλεία
8,06014567627,Οξύ κοιλιακό άλγος,3,2023-01-12 21:42:25,12,18095314451,Νοσηλεία
9,10075502624,Πόνος στο στήθος,4,2023-01-15 13:37:39,3,06060868993,Νοσηλεία
10,14024772624,Τραύμα από πτώση,5,2023-01-21 13:12:07,2,12045364041,Νοσηλεία
11,09086435726,Τραύμα από πτώση,5,2023-01-22 23:31:55,9,07025648436,Νοσηλεία
12,01099900174,Αλλεργικό σοκ,3,2023-01-28 11:51:49,9,25124524763,Νοσηλεία
13,30065441369,Έντονη Κεφαλαλγία,4,2023-01-31 18:48:00,7,07025648436,Νοσηλεία
14,10020164240,Πόνος στο στήθος,4,2023-02-05 00:59:11,1,10117245649,Νοσηλεία
15,01066563942,Ζάλη / Λιποθυμία,3,2023-02-05 12:47:27,7,22065247880,Νοσηλεία
16,15064357343,Έντονη Κεφαλαλγία,2,2023-02-07 09:36:19,10,07096944665,Νοσηλεία
17,16080248825,Δύσπνοια,4,2023-02-08 13:45:22,7,29048725629,Νοσηλεία
18,06014567627,Σπασμοί,2,2023-02-11 15:11:59,2,01078093778,Αποχώρηση
19,02127192215,Σπασμοί,4,2023-02-18 10:44:20,6,08058909862,Νοσηλεία
20,08030366981,Αλλεργικό σοκ,5,2023-02-20 03:12:17,15,26100447886,Νοσηλεία
21,26046628037,Έντονη Κεφαλαλγία,3,2023-02-25 08:20:57,8,,Νοσηλεία
22,31059967089,Ζάλη / Λιποθυμία,5,2023-02-25 15:19:34,9,13076696064,Νοσηλεία
23,03090344394,Ζάλη / Λιποθυμία,3,2023-02-25 19:18:54,11,24058021973,Νοσηλεία
24,08060402239,Οξύ κοιλιακό άλγος,2,2023-03-03 16:04:25,14,08090361434,Αποχώρηση
25,01066563942,Έντονη Κεφαλαλγία,3,2023-03-05 03:25:38,9,17089610796,Νοσηλεία
26,07064458454,Δύσπνοια,2,2023-03-08 02:05:20,9,30119609169,Νοσηλεία
27,11074736272,Υψηλός Πυρετός,4,2023-03-10 14:59:36,13,27100139422,Νοσηλεία
28,16019423688,Τραύμα από πτώση,4,2023-03-12 18:49:53,9,05089884953,Νοσηλεία
29,09086435726,Οξύ κοιλιακό άλγος,3,2023-03-15 02:50:26,13,17086486097,Νοσηλεία
30,01066563942,Τραύμα από πτώση,4,2023-03-16 11:48:42,8,13076696064,Αποχώρηση
31,01066563942,Οξύ κοιλιακό άλγος,3,2023-03-17 19:11:54,10,24100534776,Αποχώρηση
32,13126770638,Σπασμοί,4,2023-03-19 09:32:57,10,18076242086,Νοσηλεία
33,18107481250,Πόνος στο στήθος,2,2023-03-20 20:20:01,2,26018673990,Νοσηλεία
34,03028966791,Αιμορραγία,4,2023-03-23 09:56:47,12,07025648436,Νοσηλεία
35,30036670971,Οξύ κοιλιακό άλγος,3,2023-03-25 01:17:53,4,16074369547,Νοσηλεία
36,01099900174,Υψηλός Πυρετός,4,2023-03-30 20:49:39,2,29078056776,Αποχώρηση
37,18035906391,Τραύμα από πτώση,4,2023-03-31 16:10:54,13,23035977126,Νοσηλεία
38,30059991174,Σπασμοί,5,2023-04-01 17:53:17,1,15129887046,Νοσηλεία
39,02096773760,Έντονη Κεφαλαλγία,4,2023-04-03 12:40:38,14,30098579446,Νοσηλεία
40,16019423688,Ζάλη / Λιποθυμία,3,2023-04-05 07:02:37,6,22035062029,Νοσηλεία
41,26046628037,Δύσπνοια,5,2023-04-06 23:07:23,4,29078056776,Νοσηλεία
42,01099900174,Αιμορραγία,3,2023-04-07 02:12:25,10,12016289283,Νοσηλεία
43,24124200242,Σπασμοί,3,2023-04-07 08:04:05,14,,Νοσηλεία
44,30065441369,Υψηλός Πυρετός,4,2023-04-15 08:31:32,12,,Αποχώρηση
45,13115225497,Σπασμοί,2,2023-04-16 19:18:01,10,,Νοσηλεία
46,22020214679,Έντονη Κεφαλαλγία,5,2023-04-19 09:23:06,7,14055158747,Νοσηλεία
47,22080260646,Έντονη Κεφαλαλγία,3,2023-04-19 17:51:09,10,03039892139,Νοσηλεία
48,11105412405,Έντονη Κεφαλαλγία,5,2023-04-30 09:50:16,15,23055868978,Νοσηλεία
49,16019423688,Ζάλη / Λιποθυμία,3,2023-05-02 12:32:42,1,08118005072,Νοσηλεία
50,31039442179,Αλλεργικό σοκ,1,2023-05-04 05:58:35,2,22056004139,Νοσηλεία
51,18035906391,Δύσπνοια,1,2023-05-05 05:39:02,10,24105758308,Νοσηλεία
52,03066870116,Πόνος στο στήθος,3,2023-05-06 00:34:48,3,11036301026,Νοσηλεία
53,25025008486,Αιμορραγία,1,2023-05-08 10:10:47,10,30098579446,Νοσηλεία
54,23044911468,Σπασμοί,4,2023-05-10 06:27:22,14,28127165521,Νοσηλεία
55,07099742268,Πόνος στο στήθος,5,2023-05-17 05:43:28,8,12059650695,Νοσηλεία
56,30120680260,Πόνος στο στήθος,3,2023-05-17 15:30:32,13,01027315996,Νοσηλεία
57,23044911468,Πόνος στο στήθος,3,2023-05-21 12:46:28,10,24116938524,Νοσηλεία
58,20076722924,Έντονη Κεφαλαλγία,4,2023-05-21 23:08:26,14,25110455645,Νοσηλεία
59,17114480812,Τραύμα από πτώση,3,2023-05-27 11:22:20,11,27100139422,Νοσηλεία
60,06086348988,Σπασμοί,4,2023-05-28 08:35:42,10,10038144581,Νοσηλεία
61,07064458454,Οξύ κοιλιακό άλγος,3,2023-05-31 13:32:24,7,23106760849,Νοσηλεία
