kwdikos_exetashs,hmeromhnia,typos_exetashs,kostos,apotelesma,AMKA,ID_nosileias
EX-00001,2023-01-04 07:16:55,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,01090729354,1
EX-00002,2023-01-07 08:16:55,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,574.09,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,01090729354,1
EX-00003,2023-01-07 21:43:39,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Ολοκληρώθηκε χωρίς επιπλοκές.,19029051436,2
EX-00004,2023-01-08 05:43:39,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ολοκληρώθηκε χωρίς επιπλοκές.,19029051436,2
EX-00005,2023-01-09 06:43:39,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,2369.80,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,19029051436,2
EX-00006,2023-01-09 09:46:36,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,23028627654,3
EX-00007,2023-01-08 08:46:36,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Ολοκληρώθηκε χωρίς επιπλοκές.,23028627654,3
EX-00008,2023-01-11 08:43:04,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,06117882147,4
EX-00009,2023-01-14 16:32:12,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Ολοκληρώθηκε χωρίς επιπλοκές.,22120477375,5
EX-00010,2023-01-14 03:32:12,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,22120477375,5
