amka,ari8mos_adeias,eidikotita,va8mida,amka_epopti
05038348846,ΗΣ-43687,Παιδιατρική,Διευθυντής,
10089737527,ΗΣ-21304,Καρδιολογία,Επιμελητής Α΄,
19075521849,ΗΣ-73283,Ορθοπεδική,Διευθυντής,
15088743388,ΗΣ-46208,Νευρολογία,Επιμελητής Α΄,
07044341149,ΗΣ-77014,Παιδιατρική,Επιμελητής Α΄,
01090729354,ΗΣ-90123,Παθολογία,Επιμελητής Α΄,
06019165174,ΗΣ-85470,Παθολογία,Διευθυντής,
22040585135,ΗΣ-57337,Χειρουργική,Επιμελητής Α΄,
13060666813,ΗΣ-78866,Παθολογία,Διευθυντής,
22120477375,ΗΣ-83249,Καρδιολογία,Επιμελητής Α΄,
15089851983,ΗΣ-79994,Χειρουργική,Διευθυντής,
07034474162,ΗΣ-64607,Καρδιολογία,Επιμελητής Α΄,
21110456039,ΗΣ-15151,Νευρολογία,Διευθυντής,
09066167650,ΗΣ-11303,Παθολογία,Διευθυντής,
22115865680,ΗΣ-73969,Ορθοπεδική,Διευθυντής,
16040493179,ΗΣ-65670,Παθολογία,Διευθυντής,
03056595064,ΗΣ-91515,Παιδιατρική,Επιμελητής Α΄,
18050675294,ΗΣ-68816,Δερματολογία,Επιμελητής Α΄,
10094598570,ΗΣ-66665,Νευρολογία,Επιμελητής Α΄,
18114432106,ΗΣ-30944,Δερματολογία,Επιμελητής Α΄,
31084428740,ΗΣ-63235,Παθολογία,Διευθυντής,
26067425558,ΗΣ-10023,Νευρολογία,Διευθυντής,
19089017616,ΗΣ-15064,Καρδιολογία,Επιμελητής Α΄,
20039794570,ΗΣ-92476,Καρδιολογία,Επιμελητής Α΄,
03049296161,ΗΣ-22564,Χειρουργική,Διευθυντής,
23056691943,ΗΣ-16120,Παθολογία,Ειδικευόμενος,31084428740
11087946135,ΗΣ-57933,Νευρολογία,Ειδικευόμενος,15088743388
09128084347,ΗΣ-31102,Ορθοπεδική,Ειδικευόμενος,19089017616
22018235970,ΗΣ-24231,Καρδιολογία,Επιμελητής Β΄,07034474162
23026866049,ΗΣ-55658,Νευρολογία,Επιμελητής Β΄,16040493179
02087077516,ΗΣ-81933,Νευρολογία,Ειδικευόμενος,21110456039
06126222477,ΗΣ-78501,Παιδιατρική,Επιμελητής Β΄,06019165174
13119759342,ΗΣ-25926,Δερματολογία,Ειδικευόμενος,15088743388
14129831939,ΗΣ-47324,Παιδιατρική,Επιμελητής Β΄,07034474162
05068650481,ΗΣ-50055,Ορθοπεδική,Ειδικευόμενος,06019165174
02078042045,ΗΣ-12898,Καρδιολογία,Ειδικευόμενος,01090729354
