ID_nosileias,AMKA_astheni,ID_klinis,ID_tmhmatos,imerominia_eisagwgis,imerominia_exodou,diagnosis_eisagwgis,diagnosis_exodou,AMKA_iatrou
1,01079786083,188,13,2023-01-01 17:16:55,2023-01-09 17:16:55,O88.3,B69.0,01090729354
2,07025648436,99,6,2023-01-04 08:43:39,2023-01-12 08:43:39,X57,X57,19029051436
3,23076302310,118,7,2023-01-07 09:46:36,2023-01-10 09:46:36,P75*,P75*,23028627654
4,01088695318,100,6,2023-01-09 13:43:04,2023-01-11 13:43:04,T22,E50.9,06117882147
5,16074369547,92,6,2023-01-12 07:32:12,2023-01-15 07:32:12,D51.8,D51.8,22120477375
6,18095314451,16,1,2023-01-12 21:42:25,2023-01-21 21:42:25,I71.5,I71.5,08088799158
7,06060868993,200,14,2023-01-15 13:37:39,2023-01-24 13:37:39,C11.8,C11.8,06050738238
8,12045364041,59,5,2023-01-21 13:12:07,,F80,,07034474162
9,07025648436,213,15,2023-01-22 23:31:55,2023-01-24 23:31:55,Q13.0,Q13.0,17075032006
10,25124524763,10,1,2023-01-28 11:51:49,2023-02-02 11:51:49,X97,X97,04025648413
11,07025648436,128,8,2023-01-31 18:48:00,2023-02-06 18:48:00,Y45.5,Y45.5,20039794570
12,10117245649,59,5,2023-02-05 00:59:11,2023-02-08 00:59:11,M34.8,M34.8,18118519593
13,22065247880,14,1,2023-02-05 12:47:27,2023-02-11 12:47:27,F50.5,F50.5,19089017616
14,07096944665,2,1,2023-02-07 09:36:19,2023-02-19 09:36:19,Q61.1,P03.1,06019165174
15,29048725629,190,13,2023-02-08 13:45:22,2023-02-15 13:45:22,T48.3,G70.8,19110834569
16,08058909862,133,8,2023-02-18 10:44:20,2023-02-28 10:44:20,C11.2,C11.2,02030634060
17,26100447886,94,6,2023-02-20 03:12:17,2023-02-27 03:12:17,N91.0,N91.0,29109569303
18,13076696064,41,2,2023-02-25 15:19:34,2023-03-03 15:19:34,L41,L41,15089851983
19,24058021973,185,13,2023-02-25 19:18:54,2023-02-28 19:18:54,S37.8,S37.8,21110456039
20,17089610796,124,8,2023-03-05 03:25:38,2023-03-15 03:25:38,Z08,Z08,28026692058
21,30119609169,18,1,2023-03-08 02:05:20,2023-03-14 02:05:20,N16.1*,N16.1*,20039794570
22,27100139422,45,2,2023-03-10 14:59:36,2023-03-13 14:59:36,X68,X68,10094598570
23,05089884953,88,6,2023-03-12 18:49:53,2023-03-20 18:49:53,R57.1,R57.1,07100156298
24,17086486097,89,6,2023-03-15 02:50:26,2023-03-25 02:50:26,I79*,I79*,18020449145
25,18076242086,60,5,2023-03-19 09:32:57,,Q37,,22120477375
26,26018673990,1,1,2023-03-20 20:20:01,2023-03-27 20:20:01,K75.0,K75.0,15089851983
27,07025648436,5,1,2023-03-23 09:56:47,2023-04-04 09:56:47,I45,I45,08088799158
28,16074369547,136,9,2023-03-25 01:17:53,2023-04-03 01:17:53,Q80.9,G71.1,16118595442
29,23035977126,116,7,2023-03-31 16:10:54,2023-04-07 16:10:54,D37.1,D37.1,04010443316
30,15129887046,104,7,2023-04-01 17:53:17,2023-04-03 17:53:17,H34.8,H34.8,18050675294
31,30098579446,26,2,2023-04-03 12:40:38,,R93.0,,23028627654
32,22035062029,144,9,2023-04-05 07:02:37,2023-04-16 07:02:37,D10.1,D10.1,24088546021
33,29078056776,82,5,2023-04-06 23:07:23,2023-04-14 23:07:23,C14.8,C14.8,21110456039
34,12016289283,216,15,2023-04-07 02:12:25,2023-04-11 02:12:25,M54.0,M54.0,20039794570
35,14055158747,113,7,2023-04-19 09:23:06,2023-04-21 09:23:06,Y19,Y19,24088546021
36,03039892139,116,7,2023-04-19 17:51:09,2023-04-29 17:51:09,Y90.4,Y90.4,19110834569
37,23055868978,23,1,2023-04-30 09:50:16,2023-05-08 09:50:16,N48.8,N48.8,14129831939
38,08118005072,194,13,2023-05-02 12:32:42,2023-05-10 12:32:42,H44.8,H44.8,02078042045
39,22056004139,48,3,2023-05-04 05:58:35,2023-05-10 05:58:35,S82.4,Y88.1,19075521849
40,24105758308,173,12,2023-05-05 05:39:02,2023-05-13 05:39:02,J15.2,J15.2,23028627654
41,11036301026,136,9,2023-05-06 00:34:48,2023-05-10 00:34:48,Y89.9,Y89.9,18114432106
42,30098579446,43,2,2023-05-08 10:10:47,2023-05-15 10:10:47,G80,G80,31084428740
43,28127165521,164,12,2023-05-10 06:27:22,2023-05-20 06:27:22,T24.6,T24.6,23028627654
44,12059650695,121,8,2023-05-17 05:43:28,2023-05-29 05:43:28,L98.3,L98.3,28120467810
45,01027315996,59,5,2023-05-17 15:30:32,2023-05-19 15:30:32,B44.7,F51.3,17019537542
46,24116938524,3,1,2023-05-21 12:46:28,2023-06-02 12:46:28,V84.5,N99.2,08119651767
47,25110455645,106,7,2023-05-21 23:08:26,2023-05-30 23:08:26,A22.9,A22.9,05068650481
48,27100139422,37,2,2023-05-27 11:22:20,2023-06-01 11:22:20,L70.1,L70.1,21119438801
49,10038144581,191,13,2023-05-28 08:35:42,2023-06-01 08:35:42,Z03.9,Z03.9,10094598570
50,23106760849,92,6,2023-05-31 13:32:24,2023-06-11 13:32:24,W23,W23,19075521849
51,07025648436,220,15,2023-06-03 10:57:27,2023-06-07 10:57:27,K12,K12,05068650481
52,22047993944,175,12,2023-06-03 14:06:41,2023-06-13 14:06:41,B27.1,B27.1,15089851983
53,19030348414,23,1,2023-06-03 23:59:37,2023-06-13 23:59:37,C81.9,C81.9,19089017616
54,04048854946,107,7,2023-06-06 01:54:22,2023-06-16 01:54:22,I05.2,I05.2,02087077516
55,24026275714,121,8,2023-06-07 15:41:04,2023-06-11 15:41:04,Z80.3,E87.7,11100467158
56,12059650695,89,6,2023-06-07 19:28:57,2023-06-15 19:28:57,M79.3,M79.3,18050675294
57,15129887046,134,8,2023-06-08 11:47:51,2023-06-19 11:47:51,E24.9,E24.9,29109569303
58,26105808540,195,13,2023-06-12 15:19:51,2023-06-24 15:19:51,Z37.2,Q92.3,29049732701
59,25114766832,197,14,2023-06-12 23:05:59,2023-06-21 23:05:59,N90.4,N90.4,16118595442
60,09069561018,182,13,2023-06-16 21:05:36,2023-06-28 21:05:36,D14.0,D14.0,31084428740
61,29049156103,34,2,2023-06-18 16:41:29,2023-06-22 16:41:29,B85.3,B85.3,03056595064
62,05098106243,116,7,2023-06-21 15:52:58,2023-06-28 15:52:58,E28.0,L60.9,07109876453
63,10127699608,65,5,2023-06-23 02:35:50,2023-07-02 02:35:50,D77*,D77*,03049296161
64,02037342458,162,12,2023-06-27 02:24:32,2023-07-07 02:24:32,E66.2,E66.2,06050738238
65,20049280002,65,5,2023-07-04 03:42:03,2023-07-08 03:42:03,Q18.9,Q18.9,14129831939
66,27114223727,64,5,2023-07-04 20:04:50,2023-07-08 20:04:50,N85.6,N85.6,22040585135
67,20050616601,108,7,2023-07-08 22:05:42,2023-07-18 22:05:42,Y79,Y79,15124501431
68,19025178439,86,6,2023-07-09 08:40:32,2023-07-11 08:40:32,M47.2,M47.2,15124501431
69,19030348414,121,8,2023-07-24 08:55:44,2023-08-02 08:55:44,Q17.2,Q17.2,21119438801
70,25114766832,106,7,2023-07-25 02:05:31,2023-08-02 02:05:31,M40.1,S99.9,19029051436
71,04027802012,145,9,2023-08-02 07:28:58,2023-08-14 07:28:58,G24.4,G24.4,11087946135
72,17084510025,155,11,2023-08-03 07:15:00,2023-08-14 07:15:00,N88.9,Y46.7,17019537542
73,16080609722,114,7,2023-08-04 17:11:24,2023-08-12 17:11:24,L93,L93,28120467810
74,05110633308,62,5,2023-08-10 10:37:45,2023-08-15 10:37:45,Y35.5,Y35.5,03049296161
75,18026581848,8,1,2023-08-11 06:07:14,2023-08-16 06:07:14,C69.9,C69.9,07034474162
76,30129389723,191,13,2023-08-12 20:32:20,2023-08-21 20:32:20,A75.9,A75.9,16068107499
77,27087797722,152,10,2023-08-13 03:08:08,2023-08-25 03:08:08,Y41.1,Y41.1,24100569128
78,06116602025,71,5,2023-08-13 11:03:21,2023-08-18 11:03:21,T34,T34,06126222477
79,19117605737,7,1,2023-08-19 06:25:13,2023-08-24 06:25:13,I86.3,C64,02087077516
80,09026562599,126,8,2023-08-20 23:01:46,2023-08-24 23:01:46,N15.8,N15.8,08088799158
81,05110633308,29,2,2023-08-22 22:50:54,,M83.8,,26067425558
82,14038546502,24,1,2023-08-26 14:16:51,2023-08-31 14:16:51,L74.0,L74.0,05038348846
83,09087148284,76,5,2023-08-28 22:12:41,2023-09-02 22:12:41,N15.1,N15.1,16118595442
84,11018863136,107,7,2023-08-31 20:04:11,2023-09-09 20:04:11,Q78.3,Q78.3,18114432106
85,23106760849,205,14,2023-09-02 16:46:06,,R06.6,,24088546021
86,17084510025,31,2,2023-09-05 01:43:31,2023-09-15 01:43:31,C17.8,C17.8,03056595064
