ID_tmhmatos,onoma_tmhmatos,perigrafh,ari8mos_klinwn,kthrio_orofos,amka_diey8ynths
1,Καρδιολογικό,Διάγνωση και θεραπεία καρδιαγγειακών παθήσεων,25,Κτίριο Α - Όροφος 1,18114432106
2,Χειρουργικό,Γενικές και εξειδικευμένες χειρουργικές επεμβάσεις,20,Κτίριο Α - Όροφος 2,12016267995
3,ΜΕΘ,Μονάδα Εντατικής Θεραπείας για κρίσιμα περιστατικά,10,Κτίριο Β - Όροφος 1,19110834569
4,Επείγοντα,Τμήμα Επειγόντων Περιστατικών (ΤΕΠ),0,Κτίριο Γ - Ισόγειο,16068589382
5,Παθολογικό,Παρακολούθηση και θεραπεία εσωτερικών νόσων,30,Κτίριο Α - Όροφος 3,20039794570
6,Παιδιατρικό,"Ιατρική φροντίδα βρεφών, παιδιών και εφήβων",15,Κτίριο Δ - Όροφος 1,23026866049
7,Ορθοπεδικό,Αντιμετώπιση παθήσεων του μυοσκελετικού συστήματος,20,Κτίριο Α - Όροφος 4,02078042045
8,Νευρολογικό,Διάγνωση και θεραπεία παθήσεων του νευρικού συστήματος,15,Κτίριο Β - Όροφος 2,17078627586
9,Ουρολογικό,Παθήσεις του ουροποιητικού συστήματος,12,Κτίριο Β - Όροφος 3,02087077516
10,Δερματολογικό,Θεραπεία δερματικών παθήσεων και αφροδισίων,5,Κτίριο Δ - Ισόγειο,15088743388
11,Οφθαλμολογικό,Χειρουργική και παθήσεις οφθαλμών,8,Κτίριο Δ - Όροφος 2,11087946135
12,Γυναικολογικό,Μαιευτική και γυναικολογική παρακολούθηση,20,Κτίριο Γ - Όροφος 1,06126222477
13,Πνευμονολογικό,Αντιμετώπιση παθήσεων του αναπνευστικού συστήματος,15,Κτίριο Β - Όροφος 4,06019165174
14,Γαστρεντερολογικό,Παθήσεις και εξετάσεις του πεπτικού συστήματος,12,Κτίριο Γ - Όροφος 2,18020449145
15,Ογκολογικό,"Θεραπεία, χημειοθεραπείες και υποστήριξη καρκινοπαθών",15,Κτίριο Γ - Όροφος 3,17019537542
