id_tmimatos,onoma_tmimatos,perigrafi,ari8mos_klinon,ktirio_orofos,amka_diey8unti
1,Καρδιολογικό,Διάγνωση και θεραπεία καρδιαγγειακών παθήσεων,25,Κτίριο Α - Όροφος 1,05038348846
2,Χειρουργικό,Γενικές και εξειδικευμένες χειρουργικές επεμβάσεις,20,Κτίριο Α - Όροφος 2,19075521849
3,ΜΕΘ,Μονάδα Εντατικής Θεραπείας για κρίσιμα περιστατικά,10,Κτίριο Β - Όροφος 1,06019165174
4,Επείγοντα,Τμήμα Επειγόντων Περιστατικών (ΤΕΠ),0,Κτίριο Γ - Ισόγειο,13060666813
5,Παθολογικό,Παρακολούθηση και θεραπεία εσωτερικών νόσων,30,Κτίριο Α - Όροφος 3,15089851983
6,Παιδιατρικό,"Ιατρική φροντίδα βρεφών, παιδιών και εφήβων",15,Κτίριο Δ - Όροφος 1,21110456039
7,Ορθοπεδικό,Αντιμετώπιση παθήσεων του μυοσκελετικού συστήματος,20,Κτίριο Α - Όροφος 4,09066167650
8,Νευρολογικό,Διάγνωση και θεραπεία παθήσεων του νευρικού συστήματος,15,Κτίριο Β - Όροφος 2,22115865680
9,Ουρολογικό,Παθήσεις του ουροποιητικού συστήματος,12,Κτίριο Β - Όροφος 3,16040493179
10,Δερματολογικό,Θεραπεία δερματικών παθήσεων και αφροδισίων,5,Κτίριο Δ - Ισόγειο,31084428740
11,Οφθαλμολογικό,Χειρουργική και παθήσεις οφθαλμών,8,Κτίριο Δ - Όροφος 2,26067425558
12,Γυναικολογικό,Μαιευτική και γυναικολογική παρακολούθηση,20,Κτίριο Γ - Όροφος 1,03049296161
13,Πνευμονολογικό,Αντιμετώπιση παθήσεων του αναπνευστικού συστήματος,15,Κτίριο Β - Όροφος 4,10089737527
14,Γαστρεντερολογικό,Παθήσεις και εξετάσεις του πεπτικού συστήματος,12,Κτίριο Γ - Όροφος 2,15088743388
15,Ογκολογικό,"Θεραπεία, χημειοθεραπείες και υποστήριξη καρκινοπαθών",15,Κτίριο Γ - Όροφος 3,07044341149
