ΑΜΚΑ Ασθενούς,ID κλίνης,ID τμήματος,Ημερομηνία Εισαγωγής,Ημερομηνία Εξόδου,Διάγνωση εισαγωγής,Διάγνωση εξόδου,ΑΜΚΑ Ιατρού,ID νοσηλείας
07108601683,237,14,04/07/2025,11/07/2025,A16.1,A16.1,05068627165,HOSP0001
01044290797,215,13,08/10/2025,19/10/2025,A17.1,A17.1,15128896549,HOSP0002
09078088340,141,3,12/03/2025,14/03/2025,Z20.3,Z20.3,19017616694,HOSP0003
16049499213,165,3,18/12/2025,25/12/2025,Z12.83,Z12.83,15117172269,HOSP0004
16017011366,223,3,30/01/2025,,E10.10,,07077151892,HOSP0005
05048423564,189,4,11/07/2025,14/07/2025,A23.2,A23.2,27088489716,HOSP0006
18027220557,231,5,10/05/2025,,A02.1,,14068460317,HOSP0007
03055136851,159,9,17/02/2025,,K31.3,,08067254671,HOSP0008
19052189507,132,9,17/03/2025,30/03/2025,E10.32,I61.5,06027627694,HOSP0009
16015808119,142,1,13/11/2025,03/12/2025,Z04.4,Z04.4,15058853856,HOSP0010
31129728592,194,13,05/07/2025,20/07/2025,E10.11,E10.9,15049536264,HOSP0011
10096714516,169,2,14/03/2025,,A01.03,,19117791727,HOSP0012
13078790040,160,14,05/05/2025,22/05/2025,I50.9,I50.9,15087849249,HOSP0013
31129728592,207,12,05/09/2025,,Z04.0,,07088253449,HOSP0014
22063740876,127,9,29/05/2025,04/06/2025,J20.3,J20.3,27068211641,HOSP0015
25019159602,109,15,12/09/2025,13/09/2025,J20.6,J20.6,13049461046,HOSP0016
11086456641,202,13,04/05/2025,,Z12.7,,10127299727,HOSP0017
23019134486,145,2,25/07/2025,,K59.2,,24047132066,HOSP0018
21129901416,229,9,26/09/2025,09/10/2025,R06.0,J45.9,07088253449,HOSP0019
04019807181,156,4,10/04/2025,21/04/2025,K76.9,K76.9,19017616694,HOSP0020
17120568945,221,9,25/12/2025,31/12/2025,A18.1,A18.1,19017616694,HOSP0021
12060508475,163,3,03/12/2025,06/12/2025,J20.6,J20.6,04128449668,HOSP0022
28107125655,223,13,03/12/2025,16/12/2025,R06.0,J45.9,11037632460,HOSP0023
20039125854,214,7,03/10/2025,06/10/2025,E11.10,C00.8,15097351018,HOSP0024
31120254502,217,8,10/01/2025,,Z12.7,,09038058762,HOSP0025
09035158495,144,6,25/10/2025,11/11/2025,K70.4,K70.9,19117791727,HOSP0026
25029885594,146,8,28/06/2025,,A00.0,,14068657547,HOSP0027
06045568165,142,11,23/06/2025,29/06/2025,K29.71,K29.71,02017515937,HOSP0028
11086456641,180,7,05/10/2025,09/10/2025,K70.4,K70.9,15128896549,HOSP0029
25019159602,188,6,27/08/2025,28/08/2025,A02.1,A02.0,15128896549,HOSP0030
08037862959,164,14,29/06/2025,02/07/2025,I50.83,I50.83,07077151892,HOSP0031
29049814155,226,10,12/06/2025,13/06/2025,J44.1,J44.9,01078709081,HOSP0032
23030802330,210,6,14/03/2025,,Z20.81,,03097010200,HOSP0033
07089337834,209,12,17/12/2025,19/12/2025,I50.810,I50.810,27088489716,HOSP0034
17039914250,117,13,16/06/2025,30/06/2025,C06.1,C06.1,03097010200,HOSP0035
01035328784,105,10,15/06/2025,23/06/2025,K70.4,K70.9,15017712540,HOSP0036
17039914250,103,14,06/09/2025,19/09/2025,A20.0,A20.0,19068499945,HOSP0037
05061834712,215,2,31/12/2025,20/01/2026,E11.01,E11.9,07077151892,HOSP0038
16082215443,199,7,27/04/2025,07/05/2025,E10.11,E10.9,27068211641,HOSP0039
03016018913,178,3,02/09/2025,18/09/2025,K29.0,K29.2,13028919776,HOSP0040
30056189155,121,9,31/10/2025,09/11/2025,K29.0,K29.2,14029425785,HOSP0041
19095683932,200,10,04/12/2025,13/12/2025,K80.0,K80.2,09038058762,HOSP0042
19078855649,227,6,23/04/2025,,A00.1,,15128896549,HOSP0043
19105276429,115,13,10/02/2025,24/02/2025,K76.4,A18.4,11037632460,HOSP0044
12011879017,216,13,15/03/2025,17/03/2025,R19.1,R19.1,27088489716,HOSP0045
16049499213,214,7,12/03/2025,17/03/2025,C03.9,C03.9,09038238737,HOSP0046
19078855649,233,14,14/08/2025,03/09/2025,K21.9,K21.9,27019813766,HOSP0047
20031968375,180,12,29/06/2025,,A04.4,,07047704008,HOSP0048
26080647750,217,14,20/04/2025,06/05/2025,J15.4,E10.4,15128896549,HOSP0049
04066008772,180,1,08/07/2025,,E11.11,,21108836044,HOSP0050
22019927926,143,2,29/09/2025,05/10/2025,D10.3,D10.3,16049003305,HOSP0051
11086456641,113,3,12/06/2025,20/06/2025,E78.1,E78.1,19039652726,HOSP0052
04019807181,248,15,15/07/2025,21/07/2025,R26.0,R26.0,01097368772,HOSP0053
